"state","item","Unit","Date","Value"
"Nigeria","Agric eggs medium size","1 Dozen","2016M1","328.844836553888"
"Nigeria","Agric eggs medium size","1 Dozen","2016M2","338.797431963955"
"Nigeria","Agric eggs medium size","1 Dozen","2016M3","350.917654774521"
"Nigeria","Agric eggs medium size","1 Dozen","2016M4","367.747957212764"
"Nigeria","Agric eggs medium size","1 Dozen","2016M5","370.006795117089"
"Nigeria","Agric eggs medium size","1 Dozen","2016M6","380.034296078318"
"Nigeria","Agric eggs medium size","1 Dozen","2016M7","374.553623140797"
"Nigeria","Agric eggs medium size","1 Dozen","2016M8","378.729945417108"
"Nigeria","Agric eggs medium size","1 Dozen","2016M9","435.202198066996"
"Nigeria","Agric eggs medium size","1 Dozen","2016M10","472.769273635392"
"Nigeria","Agric eggs medium size","1 Dozen","2016M11","430.730814418314"
"Nigeria","Agric eggs medium size","1 Dozen","2016M12","439.866045067023"
"Nigeria","Agric eggs medium size","1 Dozen","2017M1","512.988359268359"
"Nigeria","Agric eggs medium size","1 Dozen","2017M2","520.157132657132"
"Nigeria","Agric eggs medium size","1 Dozen","2017M3","507.6944971537"
"Nigeria","Agric eggs medium size","1 Dozen","2017M4","518.657891462744"
"Nigeria","Agric eggs medium size","1 Dozen","2017M5","522.713124838773"
"Nigeria","Agric eggs medium size","1 Dozen","2017M6","514.655959121903"
"Nigeria","Agric eggs medium size","1 Dozen","2017M7","498.495353875864"
"Nigeria","Agric eggs medium size","1 Dozen","2017M8","485.187182866556"
"Nigeria","Agric eggs medium size","1 Dozen","2017M9","487.509186040628"
"Nigeria","Agric eggs medium size","1 Dozen","2017M10","472.851524422788"
"Nigeria","Agric eggs medium size","1 Dozen","2017M11","463.113831240162"
"Nigeria","Agric eggs medium size","1 Dozen","2017M12","494.430635686924"
"Nigeria","Agric eggs medium size","1 Dozen","2018M1","437.127645653536"
"Nigeria","Agric eggs medium size","1 Dozen","2018M2","519.068630208195"
"Nigeria","Agric eggs medium size","1 Dozen","2018M3","527.31879873942"
"Nigeria","Agric eggs medium size","1 Dozen","2018M4","552.089502299215"
"Nigeria","Agric eggs medium size","1 Dozen","2018M5","548.658751293805"
"Nigeria","Agric eggs medium size","1 Dozen","2018M6","539.751511643846"
"Nigeria","Agric eggs medium size","1 Dozen","2018M7","471.754038376651"
"Nigeria","Agric eggs medium size","1 Dozen","2018M8","474.13286960756"
"Nigeria","Agric eggs medium size","1 Dozen","2018M9","472.730385769877"
"Nigeria","Agric eggs medium size","1 Dozen","2018M10","482.89535363087"
"Nigeria","Agric eggs medium size","1 Dozen","2018M11","477.756007872641"
"Nigeria","Agric eggs medium size","1 Dozen","2018M12","466.965382038294"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2016M1","29.7483417483417"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2016M2","29.9963640640893"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2016M3","31.2012587747882"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2016M4","35.9028960652146"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2016M5","33.9841364606451"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2016M6","34.1980614662951"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2016M7","33.7891530501067"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2016M8","33.9936779359333"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2016M9","37.2044473642466"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2016M10","42.0276873333727"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2016M11","39.0496377683877"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2016M12","39.4000870543517"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2017M1","47.4181031356031"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2017M2","42.9037369735899"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2017M3","43.9275229357798"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2017M4","46.2180211274638"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2017M5","45.7348691292142"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2017M6","45.2774778324649"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2017M7","44.3178755559208"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2017M8","42.917186440678"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2017M9","45.7161629809048"
"Nigeria","Agric eggs(medium size price of one)","1 piece","2017M10","42.0626387216541"
